,brewery_id,brewery_name,city,state
196,196,Goose Island Brewery Company,Chicago, IL
197,197,Burnside Brewing Co.,Portland, OR
198,198,Hop Valley Brewing Company,Springfield, OR
199,199,Worthy Brewing Company,Bend, OR
200,200,Occidental Brewing Company,Portland, OR
201,201,Fearless Brewing Company,Estacada, OR
202,202,Upland Brewing Company,Bloomington, IN
203,203,Mehana Brewing Co.,Hilo, HI
204,204,Hawai'i Nui Brewing Co.,Hilo, HI
205,205,People's Brewing Company,Lafayette, IN
206,206,Fort George Brewery,Astoria, OR
207,207,Branchline Brewing Company,San Antonio, TX
208,208,Kalona Brewing Company,Kalona, IA
209,209,Modern Times Beer,San Diego, CA
210,210,Temperance Beer Company,Evanston, IL
211,211,Wisconsin Brewing Company,Verona, WI
212,212,Crow Peak Brewing Company,Spearfish, SD
213,213,Grapevine Craft Brewery,Farmers Branch, TX
214,214,Buffalo Bayou Brewing Company,Houston, TX
215,215,Texian Brewing Co.,Richmond, TX
216,216,Orpheus Brewing,Atlanta, GA
217,217,Forgotten Boardwalk,Cherry Hill, NJ
218,218,Laughing Dog Brewing Company,Ponderay, ID
219,219,Bozeman Brewing Company,Bozeman, MT
220,220,Big Choice Brewing,Broomfield, CO
221,221,Big Storm Brewing Company,Odessa, FL
222,222,Carton Brewing Company,Atlantic Highlands, NJ
223,223,Midnight Sun Brewing Company,Anchorage, AK
224,224,Fat Head's Brewery,Middleburg Heights, OH
225,225,Refuge Brewery,Temecula, CA
226,226,Chatham Brewing,Chatham, NY
227,227,DC Brau Brewing Company,Washington, DC
228,228,Geneva Lake Brewing Company,Lake Geneva, WI
229,229,Rochester Mills Brewing Company,Rochester, MI
230,230,Cape Ann Brewing Company,Gloucester, MA
231,231,Borderlands Brewing Company,Tucson, AZ
232,232,College Street Brewhouse and Pub,Lake Havasu City, AZ
233,233,Joseph James Brewing Company,Henderson, NV
234,234,Harpoon Brewery,Boston, MA
235,235,Back East Brewing Company,Bloomfield, CT
236,236,Champion Brewing Company,Charlottesville, VA
237,237,Devil's Backbone Brewing Company,Lexington, VA
238,238,Newburgh Brewing Company,Newburgh, NY
239,239,Wiseacre Brewing Company,Memphis, TN
240,240,Golden Road Brewing,Los Angeles, CA
241,241,New Republic Brewing Company,College Station, TX
242,242,Infamous Brewing Company,Austin, TX
243,243,Two Henrys Brewing Company,Plant City, FL
244,244,Lift Bridge Brewing Company,Stillwater, MN
245,245,Lucky Town Brewing Company,Jackson, MS
246,246,Quest Brewing Company,Greenville, SC
247,247,Creature Comforts,Athens, GA
248,248,Half Full Brewery,Stamford, CT
249,249,Southampton Publick House,Southampton, NY
250,250,Chapman's Brewing,Angola, IN
251,251,Barrio Brewing Company,Tucson, AZ
252,252,Santa Cruz Mountain Brewing,Santa Cruz, CA
253,253,Frankenmuth Brewery,Frankenmuth, MI
254,254,Meckley's Cidery,Somerset Center, MI
255,255,Stillwater Artisanal Ales,Baltimore, MD
256,256,Finch's Beer Company,Chicago, IL
257,257,South Austin Brewery,South Austin, TX
258,258,Bauhaus Brew Labs,Minneapolis, MN
259,259,Ozark Beer Company,Rogers, AR
260,260,Mountain Town Brewing Company ,Mount Pleasant, MI
261,261,Otter Creek Brewing,Waterbury, VT
262,262,The Brewer's Art,Baltimore, MD
263,263,Denver Beer Company,Denver, CO
264,264,Ska Brewing Company,Durango, CO
265,265,Tractor Brewing Company,Albuquerque, NM
266,266,Peak Organic Brewing Company,Portland, ME
267,267,Cape Cod Beer,Hyannis, MA
268,268,Long Trail Brewing Company,Bridgewater Corners, VT
269,269,Great Raft Brewing Company,Shreveport, LA
270,270,Alaskan Brewing Company,Juneau, AK
271,271,Notch Brewing Company,Ipswich, MA
272,272,The Alchemist,Waterbury, VT
273,273,Three Notch'd Brewing Company,Charlottesville, VA
274,274,Portside Brewery,Cleveland, OH
275,275,Otter Creek Brewing,Middlebury, VT
276,276,Montauk Brewing Company,Montauk, NY
277,277,Indeed Brewing Company,Minneapolis, MN
278,278,Berkshire Brewing Company,South Deerfield, MA
279,279,Foolproof Brewing Company,Pawtucket, RI
280,280,Headlands Brewing Company,Mill Valley, CA
281,281,Bolero Snort Brewery,Ridgefield Park, NJ
282,282,Thunderhead Brewing Company,Kearney, NE
283,283,Defiance Brewing Company,Hays, KS
284,284,Milwaukee Brewing Company,Milwaukee, WI
285,285,Catawba Island Brewing,Port Clinton, OH
286,286,Back Forty Beer Company,Gadsden, AL
287,287,Four Corners Brewing Company,Dallas, TX
288,288,Saint Archer Brewery,San Diego, CA
289,289,Rogue Ales,Newport, OR
290,290,Hale's Ales,Seattle, WA
291,291,Tommyknocker Brewery,Idaho Springs, CO
292,292,Baxter Brewing Company,Lewiston, ME
293,293,Northampton Brewery,Northamtpon, MA
294,294,Black Shirt Brewing Company,Denver, CO
295,295,Wachusett Brewing Company,Westminster, MA
296,296,Widmer Brothers Brewing Company,Portland, OR
297,297,Hop Farm Brewing Company,Pittsburgh, PA
298,298,Liquid Hero Brewery,York, PA
299,299,Matt Brewing Company,Utica, NY
300,300,Boston Beer Company,Boston, MA
301,301,Old Forge Brewing Company,Danville, PA
302,302,Utah Brewers Cooperative,Salt Lake City, UT
303,303,Magic Hat Brewing Company,South Burlington, VT
304,304,Blue Hills Brewery,Canton, MA
305,305,Night Shift Brewing,Everett, MA
306,306,Beach Brewing Company,Virginia Beach, VA
307,307,Payette Brewing Company,Garden City, ID
308,308,Brew Bus Brewing,Tampa, FL
309,309,Sockeye Brewing Company,Boise, ID
310,310,Pine Street Brewery,San Francisco, CA
311,311,Dirty Bucket Brewing Company,Woodinville, WA
312,312,Jackalope Brewing Company,Nashville, TN
313,313,Slanted Rock Brewing Company,Meridian, ID
314,314,Piney River Brewing Company,Bucryus, MO
315,315,Cutters Brewing Company,Avon, IN
316,316,Iron Hill Brewery & Restaurant,Wilmington, DE
317,317,Marshall Wharf Brewing Company,Belfast, ME
318,318,Banner Beer Company,Williamsburg, MA
319,319,Dick's Brewing Company,Centralia, WA
320,320,Claremont Craft Ales,Claremont, CA
321,321,Rivertown Brewing Company,Lockland, OH
322,322,Voodoo Brewery,Meadville, PA
323,323,D.L. Geary Brewing Company,Portland, ME
324,324,Pisgah Brewing Company,Black Mountain, NC
325,325,Neshaminy Creek Brewing Company,Croydon, PA
326,326,Morgan Street Brewery,Saint Louis, MO
327,327,Half Acre Beer Company,Chicago, IL
328,328,The Just Beer Project,Burlington, VT
329,329,The Bronx Brewery,Bronx, NY
330,330,Dead Armadillo Craft Brewing,Tulsa, OK
331,331,Catawba Brewing Company,Morganton, NC
332,332,La Cumbre Brewing Company,Albuquerque, NM
333,333,David's Ale Works,Diamond Springs, CA
334,334,The Traveler Beer Company,Burlington, VT
335,335,Fargo Brewing Company,Fargo, ND
336,336,Big Sky Brewing Company,Missoula, MT
337,337,Nebraska Brewing Company,Papillion, NE
338,338,Uncle John's Fruit House Winery,St. John's, MI
339,339,Wormtown Brewery,Worcester, MA
340,340,Due South Brewing Company,Boynton Beach, FL
341,341,Palisade Brewing Company,Palisade, CO
342,342,KelSo Beer Company,Brooklyn, NY
343,343,Hardywood Park Craft Brewery,Richmond, VA
344,344,Wolf Hills Brewing Company,Abingdon, VA
345,345,Lavery Brewing Company,Erie, PA
346,346,Manzanita Brewing Company,Santee, CA
347,347,Fullsteam Brewery,Durham, NC
348,348,Four Horsemen Brewing Company,South Bend, IN
349,349,Hinterland Brewery,Green Bay, WI
350,350,Central Coast Brewing Company,San Luis Obispo, CA
351,351,Westfield River Brewing Company,Westfield, MA
352,352,Elevator Brewing Company,Columbus, OH
353,353,Aslan Brewing Company,Bellingham, WA
354,354,Kulshan Brewery,Bellingham, WA
355,355,Pikes Peak Brewing Company,Monument, CO
356,356,Manayunk Brewing Company,Philadelphia, PA
357,357,Buckeye Brewing,Cleveland, OH
358,358,Daredevil Brewing Company,Shelbyville, IN
359,359,NoDa Brewing Company,Charlotte, NC
360,360,Aviator Brewing Company,Fuquay-Varina, NC
361,361,Wild Onion Brewing Company,Lake Barrington, IL
362,362,Hilliard's Beer,Seattle, WA
363,363,Mikkeller,Pottstown, PA
364,364,Bohemian Brewery,Midvale, UT
365,365,Great River Brewery,Davenport, IA
366,366,Mustang Brewing Company,Mustang, OK
367,367,Airways Brewing Company,Kent, WA
368,368,21st Amendment Brewery,San Francisco, CA
369,369,Eddyline Brewery & Restaurant,Buena Vista, CO
370,370,Pizza Port Brewing Company,Carlsbad, CA
371,371,Sly Fox Brewing Company,Pottstown, PA
372,372,Spring House Brewing Company,Conestoga, PA
373,373,7venth Sun,Dunedin, FL
374,374,Astoria Brewing Company,Astoria, OR
375,375,Maui Brewing Company,Lahaina, HI
376,376,RoughTail Brewing Company,Midwest City, OK
377,377,Lucette Brewing Company,Menominee, WI
378,378,Bold City Brewery,Jacksonville, FL
379,379,Grey Sail Brewing of Rhode Island,Westerly, RI
380,380,Blue Blood Brewing Company,Lincoln, NE
381,381,Swashbuckler Brewing Company,Manheim, PA
382,382,Blue Mountain Brewery,Afton, VA
383,383,Starr Hill Brewery,Crozet, VA
384,384,Westbrook Brewing Company,Mt. Pleasant, SC
385,385,Shipyard Brewing Company,Portland, ME
386,386,Revolution Brewing,Paonia, CO
387,387,Natian Brewery,Portland, OR
388,388,Alltech's Lexington Brewing Company,Lexington, KY
389,389,Oskar Blues Brewery (North Carol...,Brevard, NC
390,390,Orlison Brewing Company,Airway Heights, WA
391,391,Breckenridge Brewery,Denver, CO
392,392,Santa Fe Brewing Company,Santa Fe, NM
393,393,Miami Brewing Company,Miami, FL
394,394,Schilling & Company,Seattle, WA
395,395,Hops & Grain Brewery,Austin, TX
396,396,White Flame Brewing Company,Hudsonville, MI
397,397,Ruhstaller Beer Company,Sacramento, CA
398,398,Saugatuck Brewing Company,Douglas, MI
399,399,Moab Brewery,Moab, UT
400,400,Macon Beer Company,Macon, GA
401,401,Amnesia Brewing Company,Washougal, WA
402,402,Wolverine State Brewing Company,Ann Arbor, MI
403,403,Red Tank Cider Company,Bend, OR
404,404,Cascadia Ciderworks United,Portland, OR
405,405,Fate Brewing Company,Boulder, CO
406,406,Lazy Monk Brewing,Eau Claire, WI
407,407,Bitter Root Brewing,Hamilton, MT
408,408,10 Barrel Brewing Company,Bend, OR
409,409,Tamarack Brewing Company,Lakeside, MT
410,410,New England Brewing Company,Woodbridge, CT
411,411,Seattle Cider Company,Seattle, WA
412,412,Straight to Ale,Huntsville, AL
413,413,Austin Beerworks,Austin, TX
414,414,Blue Mountain Brewery,Arrington, VA
415,415,Coastal Empire Beer Company,Savannah, GA
416,416,Jack's Hard Cider (Hauser Estate...,Biglerville, PA
417,417,Boulder Beer Company,Boulder, CO
418,418,Coalition Brewing Company,Portland, OR
419,419,Sanitas Brewing Company,Boulder, CO
